词语 情感分类 强度
争多论少 nn 3
为德不卒 nd 9
三十六策，走为上计 nd 5
心为形役 nj 5
东藏西躲 ni 5
洞心骇目 pc 5
斗霜傲雪 ph 7
独占鼇头 ph 5
读书君子 ph 5
杜渐防萌 ph 5
断烂朝报 ne 5
敦本务实 ph 5
遁世无闷 pe 5
多言多语 nn 5
掇臀捧屁 nn 5
讹以滋讹 nn 5
恶直丑正 nd 5
二心两意 nn 5
伐罪吊人 ph 5
反正还淳 ph 5
饭蔬饮水 pe 5
方头不劣 nn 5
放饭流歠 nd 9
飞黄腾踏 pa 5
飞声腾实 ph 5
悱恻缠绵 nb 5
分花拂柳 ph 7
分情破爱 nd 5
焚林竭泽 nn 5
奋不顾命 ph 7
愤不欲生 na 9
丰墙峭阯 nn 5
赫然 na 7
横生 pc 3
洪灾 nd 5
忽而 pc 5
虎彪彪 ph 5
嫡传 pd 5
抵命 na 9
地方民族主义 nn 7
种族歧视 na 9
重要 pd 7
骤然 pc 7
主犯 nn 7
主流 pd 3
嘱托 pg 7
注视 pd 7
专著 pd 7
转运 pa 8
装璜 pd 7
撞见 ni 7
追脏 nd 7
准谱儿 pg 8
强奸 nd 9
抢先 ni 5
乔迁 pa 5
俏皮话 pf 5
切切 nj 5
亲历 pg 7
亲眼 pg 7
亲族 pg 5
倾心 pb 7
情爱 pa 7
穷忙 ne 5
囚笼 nc 7
求亲 pa 7
屈挠 nc 7
娶亲 pa 7
耍贫嘴 ne 5
爽快 pb 5
亮晶晶 ph 5
劣株 nn 5
流落 nb 5
珑玲 ph 5
出毛病 ne 5
摧枯折腐 ph 7
村夫俗子 nn 5
寸步难移 nb 5
搓手顿足 ne 5
打死老虎 nn 7
打家截道 nd 5
大匠运斤 ph 5
大放厥辞 ph 5
大厦将颠 ni 7
大澈大悟 ph 5
代马望北 pf 5
待贾而沽 ph 5
戴清履浊 ph 5
丹凤朝阳 ph 5
担雪塞井 nn 5
胆大心粗 nn 5
胆壮气粗 ph 5
胆战心摇 nc 7
弹丸脱手 ph 5
党恶佑奸 nn 5
倒打一瓦 nn 5
倒峡泻河 ph 5
悼心疾首 nb 9
道弟称兄 pg 5
道傍苦李 nn 5
道殣相望 nb 5
得不偿失 nj 5
德音莫违 nn 5
敌惠敌怨 ph 5
砥砺廉隅 ph 5
雕章绘句 ph 5
雕虫篆刻 nn 5
调三惑四 nn 5
跌宕昭彰 ph 5
跌弹斑鸠 nb 5
丢三忘四 nn 5
东支西吾 nn 5
东床娇客 pb 5
东劳西燕 nb 5
东播西流 nb 5
桃色 nd 5
惕励 nc 7
天趣 pa 5
恬适 pe 9
橘化为枳 nb 7
据高临下 nn 5
踞炉炭上 ni 7
镌脾琢肾 pb 1
决一死战 na 3
抉目胥门 nd 7
嚼铁咀金 ph 3
君圣臣贤 ph 7
开心见肠 ph 7
开眉展眼 pa 7
咳珠唾玉 ph 7
克爱克威 ph 5
溘先朝露 nb 9
口不择言 nn 5
口角生风 ph 7
口坠天花 nn 5
枯枝再春 pa 7
枯脑焦心 ni 3
刳精鉥心 nb 3
快刀斩乱丝 ph 7
宽洪大量 ph 9
匡乱反正 pe 5
狂轰滥炸 na 9
困心衡虑 ni 5
来日大难 nb 7
览闻辩见 ph 7
烂额焦头 nc 7
狼奔鼠偷 nd 5
狼号鬼哭 nb 9
狼顾鸢视 na 5
劳心焦思 ni 7
乐天任命 pe 3
乐此不倦 pb 9
乐极则悲 nb 5
乐道安命 pe 5
乐尽悲来 nb 5
磊浪不羁 pe 7
冷心冷面 nd 1
楞头呆脑 nn 5
离合悲欢 nb 7
离蔬释蹻 pa 7
李广未封 nb 7
历井扪天 ph 9
沥血叩心 pg 5
丽句清词 ph 3
詈夷为跖 nn 5
连枝共冢 ph 7
连昏达曙 nb 5
连篇累册 nn 3
连舆并席 pg 5
怜新厌旧 nn 5
脸青鼻肿 nb 7
恋酒贪花 nn 5
两世为人 pa 5
两道三科 nn 7
量己审分 pg 3
修心养性 pe 5
斤斤自守 nc 5
三思而行 pe 1
不忮不求 pe 5
修身洁行 ph 5
修桥补路 ph 7
宵衣旰食 ph 5
争分夺秒 ph 3
死不瞑目 nj 7
信赏必罚 ph 7
于心何忍 nj 5
情怨理遣 na 5
菩萨低眉 ph 5
一德一心 pg 7
有福同享 pg 5
五言长城 ph 7
药笼中物 ph 7
举无遗策 ph 7
见机行事 ph 5
搏大精深 ph 9
不觉技痒 nn 5
身经百战 ph 7
巧取豪夺 ph 5
引绳批根 nn 5
瘦瘠 nj 5
耍笑 nn 5
无与比伦 ph 7
舞文巧诋 nn 7
析交离亲 nn 5
息黥补劓 ph 5
嘻皮涎脸 nn 7
洗手奉公 ph 5
徙薪曲突 ph 5
霞明玉映 ph 7
鲜衣美食 nn 5
闲言冷语 nn 5
贤妻良母 ph 7
涎脸餳眼 nn 5
显山露水 ph 5
埳井之蛙 nn 3
香草美人 ph 5
像心称意 pe 7
鸮心鸝舌 nn 5
销魂荡魄 nc 7
孝子慈孙 ph 7
胁不沾席 ph 7
心忙意急 ni 5
心如寒灰 nj 7
心孤意怯 ni 5
心术不端 nn 7
心劳意冗 ni 7
心烦意冗 ne 7
心头鹿撞 ni 7
心惊胆落 nc 9
新愁旧恨 nd 9
空喊 nn 5
魁伟 ph 9
苦境 ne 7
亏蚀 nb 5
困守 pd 7
披肝沥血 ph 5
匹夫无罪，怀璧其罪 na 3
片接寸附 nj 1
贫贱之交 ph 3
迫於眉睫 ni 1
破琴绝弦 nj 3
剖肝泣血 pd 3
七行俱下 ph 3
七捞八攘 pf 3
祁奚之荐 pg 3
崎嵚历落 ph 5
骑鹤望扬州 nn 5
綦谿利跂 nn 5
杞人之忧 pf 5
气吞虹蜺 ph 5
气义相投 pb 5
弃甲负弩 nj 3
弃恶从善 ph 5
砌红堆绿 pb 5
千刀万剐 nd 7
千里之隄，溃于蚁穴 ni 7
千伶百俐 pb 9
千金敝帚 pb 7
千条万缕 pf 9
千绪万端 pf 9
牵肠割肚 pf 9
前跋后疐 nc 7
潜休隐德 pd 7
部分质变 nc 5
彩礼 pb 7
揖让 ph 7
艺术性 ph 9
荫庇 pd 3
应名儿 nn 5
遇合 pa 5
元气 pb 5
园丁 pd 7
远见 ph 7
岳母 pd 7
陨获 nb 7
晕船 ne 5
灾星 nn 9
赞礼 ph 7
糟踏 nd 9
增光 pa 7
畅通无阻 pa 7
以汤沃雪 pa 7
虎尾春冰 nc 7
四郊多垒 nc 7
羊入虎群 nc 7
有凤来仪 pa 7
腹心之疾 ni 7
堤之千里，溃于蚁穴 pc 7
似是而非 nn 7
一叶蔽目，不见泰山 nn 7
地平天成 ph 7
事在人为 pg 7
多藏厚亡 nn 7
花残月缺 nb 7
折戟沉沙 nb 7
桃花潭水 ph 7
非意相干 nh 5
视同路人 nn 7
吃里爬外　 nn 7
酒食征逐　 nn 5
如鱼得水　 pa 7
五鬼闹判　 nb 5
朝中有人好做官　 nn 7
蓬荜生辉　 ph 7
熊罴入梦　 pa 7
竹苞松茂　 pa 7
旭日东升 pa 5
天末凉风 nb 7
月黑风高 nc 7
千里迢迢 nb 7
青山绿水 ph 7
炮火连天 nc 7
吉光片羽 pa 9
调和鼎鼐 ph 7
荆山之玉 ph 7
寿山福海 ph 9
仙山琼阁 nn 7
吉日良辰 pa 7
泯灭 nn 5
名胜 ph 7
名著 ph 7
魔障 nd 5
拿架子 nn 5
哀思如潮 nb 9
爱素好古 pb 5
爱生恶死 pb 5
安常习故 pb 5
安国富民 pe 5
安心定志 pe 5
安于一隅 pe 5
岸然道貌 nn 5
暗气暗恼 na 5
昂首天外 nn 5
傲慢不逊 nn 5
傲头傲脑 nn 5
鳌里夺尊 ph 5
八面驶风 ph 5
拔山举鼎 ph 5
拔了萝卜地皮宽 nn 5
霸道横行 nn 5
白驹空谷 nj 5
白眼相看 nd 5
百堵皆作 ph 5
百家争鸣 ph 5
百岁千秋 ph 5
败材伤锦 nn 5
拜赐之师 nn 5
半身不遂 nn 5
徬徨失措 ni 5
饱暖思淫欲 nn 5
抱诚守真 ph 5
抱头大哭 nb 5
暴内陵外 nd 5
杯中蛇影 nc 5
悲愁垂涕 nb 5
背公向私 nn 5
背暗投明 ph 5
备位充数 nn 5
逼良为娼 nd 5
殉葬 nb 5
眼福 pb 5
志骄气盈 nn 7
治丝而棼 nj 5
陟罚臧否 ph 5
智尽能索 nl 5
智勇兼全 pd 5
彘肩斗酒 pd 5
中冓之言 nd 5
忠言逆耳 pe 5
钟鸣鼎重 pd 5
踵趾相接 ni 5
众难群移 nl 5
众醉独醒 ph 5
重赏之下，必有死夫 nn 5
肘行膝步 nb 5
昼乾夕惕 ph 7
朱弦三叹 ph 7
侏儒观戏 nn 7
珠沉玉碎 nb 5
珠零玉落 nb 5
株连蔓引 nc 7
铢铢较量 ph 5
逐末弃本 nn 7
逐臭之夫 nd 7
逐影随波 nn 7
主情造意 pe 5
麈尾之诲 ph 7
驻红却白 pa 5
祝僇祝鲠 pd 7
铸剑为犁 pe 5
拽布披麻 nb 5
转死沟壑 nd 5
妆模作样 nn 5
追奔逐北 ni 5
追根求源 nl 5
追魂夺命 ph 9
追欢买笑 nn 7
谆谆诰诫 ph 5
捉生替死 nn 7
捉鸡骂狗 na 5
浊泾清渭 ph 5
酌古御今 pe 5
孜孜不懈 ph 5
孳孳汲汲 ph 5
恣凶稔恶 nc 7
足不逾户 pe 5
足高气强 nn 5
阻山带河 nc 5
钻火得冰 nl 5
钻冰取火 nn 5
晬面盎背 ph 7
尊主泽民 ph 5
遵养待时 pe 5
左右图史 ph 7
左铅右椠 ph 7
作如是观 pe 5
作嫁衣裳 ne 5
坐不重席 pe 7
坐吃山崩 nn 5
坐食山空 nn 5
坐树不言 pe 7
做小伏低 pd 7
凿坯而遁 pe 5
哀辞 nb 5
哀子 nb 5
碍面子 ng 5
露马脚 nd 1
落漠 nb 7
卖国贼 nd 9
芝兰 ph 7
中奖 pa 9
龙骧虎视 ph 9
打哈哈 pa 7
华冠丽服 pa 7
口燥唇干 nb 7
体无完肤 nb 7
左思右想 nb 7
感旧之哀 nb 7
停云落月 pf 7
浮想联翩 pa 7
无能为力 nb 7
一步一鬼 nn 7
贫而乐道 pa 7
先睹为快 pa 7
聊以自慰 nb 7
寝不安席 ni 7
得意忘言 pe 7
出人意表 pc 7
反躬自省 nb 7
幕天席地 pa 7
喑恶叱咤 na 9
血泪盈襟 nb 9
悲不自胜 nb 9
丧明之痛 nb 9
敢是 nl 7
保不住 nl 5
报仇 na 9
暴病 nc 7
暴乱 nc 7
背不住 nl 7
奔忙 nb 5
本草纲目 pd 5
逼勒 nd 5
秕子 nj 3
毕命 nc 9
碧血 ph 7
避难 ni 7
鞭挞 nn 7
胖墩儿 pb 5
咆哮 na 9
跑电 pk 5
跑跑跳跳 pa 7
赔累 ne 7
怦怦 ni 3
劈手 ph 7
僻壤 pk 6
翩然 ph 6
颦蹙 ne 5
平生 pg 7
平正 ph 5
凭依 pg 5
屏息 pk 6
泼天 pk 9
了身脱命 pe 7
烈烈轰轰 pb 7
林下清风 ph 9
麟角凤觜 ph 9
陵弱暴寡 nn 7
另起炉灶 nn 1
令行禁止 ph 7
流水高山 pb 3
流星飞电 ph 7
流落失所 nb 7
流离颠顿 nb 9
柳眉星眼 ph 7
柳暗花遮 pe 5
柳宠花迷 pb 7
六根清净 pe 9
六道轮回 nn 9
龙生九种 nn 5
龙肝凤髓 ph 7
龙姿凤采 ph 7
龙飞凤舞 ph 5
龙章凤彩 ph 7
龙翔凤跃 ph 7
龙盘凤逸 nb 7
龙战玄黄 ph 3
龙蟠虎伏 ph 5
龙腾虎掷 ph 7
龙骧虎跱 ph 7
镂冰炊砾 nb 7
镂骨铭肌 ph 9
鲁戈回日 ph 9
鲁阳回日 ph 9
鹿车共挽 ph 3
碌碌寡合 nn 1
露胆披肝 ph 7
鸾吟凤唱 ph 5
鸾跂鸿惊 ph 5
鸾鹄在庭 ph 5
乱语胡言 nn 7
论黄数黑 nn 5
洛阳纸贵 ph 5
驴头不对马嘴 nn 7
履盈蹈满 pa 9
掠影浮光 nn 5
马牛襟裾 nn 7
马到功成 pg 7
骂天扯地 nn 5
买静求安 ne 3
麦穗两歧 pa 7
卖官贩爵 nn 7
埋轮破柱 ph 7
满脸春色 pa 7
漫天叫价 nn 5
盲人扪烛 nn 5
毛遂堕井 nn 7
貌合行离 nn 1
没石饮羽 ph 7
没计奈何 ne 5
没颠没倒 ne 5
门衰祚薄 nj 7
扪参历井 ne 7
迷天大谎 nn 9
迷途知反 ph 5
靡有孑遗 nn 1
孤臣孽子 nb 7
孤军深入 nj 5
孤犊触乳 pf 7
骨肉未寒 nj 5
骨腾肉飞 nl 5
鼓眼努睛 nd 5
鼓馁旗靡 nn 5
故步自画 nn 5
顾左右而言他 nn 5
顾景惭形 nh 5
刮野扫地 nd 5
乖脣蜜舌 nd 5
观眉说眼 nd 5
官报私仇 nd 9
鳏寡惸独 nb 5
灌夫骂坐 nd 5
光彩耀目 pb 5
广譬曲谕 ph 5
圭角岸然 ph 7
珪璋特达 ph 7
诡诞不经 nn 7
鬼设神使 pg 5
贵人多忘 nd 5
贵壮贱弱 nd 5
桂酒椒浆 ph 7
刿鉥肝肾 nn 9
滚瓜流水 ph 5
海涵地负 ph 9
骇人闻听 pc 9
酣歌恆舞 nn 5
含牙戴角 nn 5
含明隐迹 ph 5
含垢藏瑕 ph 7
含情脉脉 pb 7
韩海苏潮 ph 7
寒灰更然 ph 5
汗血盐车 nb 7
汗流浃肤 nc 9
嚎天喊地 nb 9
好行小慧 nn 5
豪末不掇，将成斧柯 ni 5
浩如烟海 ph 7
何所不至 nd 7
和颜说色 pe 5
河东三箧 nb 5
河清社鸣 pe 5
河汉江淮 ph 5
鹤骨龙筋 ph 5
鹤势螂形 pb 5
黑风孽海 nc 7
横行直走 nd 5
横眉立眼 na 9
横眉瞪眼 na 9
横灾飞祸 nc 7
横抢硬夺 nn 7
闳宇崇楼 ph 5
洪炉点雪 ph 7
鸿都买第 nd 7
鸿业远图 ph 7
鸿儒硕学 ph 7
后来之秀 ph 5
厚德载物 ph 7
呼群结党 nn 5
狐狸尾巴 nd 7
狐鸣狗盗 nd 7
识羞 ne 5
食物中毒 nn 5
市惠 nd 5
势治 nn 5
适中 pe 5
收揽 nn 5
绝伦 ph 3
骏足 ph 9
楷模 ph 7
袁安高卧 ph 5
远瞩高瞻 pd 3
月盈则食 nb 5
岳岳磊磊 ph 5
云心鹤眼 ph 5
云悲海思 pf 5
云开雾释 nb 5
运斤如风 ph 5
再接再历 ph 3
赃盈恶贯 nn 7
造极登峰 ph 9
择地而蹈 ph 5
斋心涤虑 ph 5
詀言詀语 nn 3
战无不克 ph 5
张眉努目 nn 5
招是搬非 nn 5
朝过夕改 ph 5
折冲之臣 ph 5
枕冷衾寒 nb 5
震聋发聩 ph 5
正正气气 ph 5
政清人和 pe 5
执迷不反 nn 5
直言正谏 ph 5
蹠犬噬尧 nk 5
咫尺万里 ph 5
伪政权 nd 7
委罪 nn 5
温居 pa 5
文字狱 nn 5
喔唷 pc 5
无情 nn 7
投隙抵巇 nn 7
徒负虚名 nn 5
涂歌邑诵 pa 7
土龙沐猴 nd 7
吐哺捉发 ph 7
兔起凫举 ph 7
抟空捕影 nn 7
推心致腹 ph 7
推诚置腹 ph 7
颓垣废井 nb 9
退藏於密 ph 7
吞声忍气 nn 7
讬于空言 nn 5
拖人落水 nn 5
脱颖囊锥 ph 7
跅幪不羁 nn 7
瓦解冰销 nj 9
外方内员 nn 7
外宽内明 ph 7
剜肉做疮 nn 7
玩故習常 nn 7
顽皮赖肉 nn 7
亡羊补牢 ph 3
亡国灭种 nb 9
王孙公子 pd 5
枉曲直凑 nn 9
枉费心计 nb 7
忘恩失义 nn 7
望表知里 ph 7
望眼将穿 pb 7
望尘僄声 nn 7
危言覈论 ph 7
逶迤退食 ph 7
为山止篑 nj 9
为恶不悛 nn 9
为虎作伥 nd 7
违天悖人 nd 9
违时绝俗 ph 7
唯利是求 nn 7
帷灯箧剑 nn 7
惟利是命 nn 9
尾大不掉 nn 7
未足轻重 nn 5
未为不可 ph 5
渭浊泾清 ph 9
温香艳玉 ph 7
文子文孙 pd 9
文武之道 ph 9
文风不动 ph 7
文章宗匠 ph 9
文丝不动 ph 7
文觌武匿 ph 7
问柳评花 nn 7
瓮中之鳖 ph 7
握雨携云 pa 9
握瑜怀瑾 ph 7
乌踆兔走 nb 7
屋乌推爱 pb 7
无天於上，无地於下 nn 7
无巧不成话 pb 7
无休无了 ne 7
无衣之赋 ph 7
无足重轻 nn 7
无其伦比 ph 9
无所不作 nn 7
无所忌讳 ph 7
无所错手足 ne 9
无背无侧 nn 5
无施不可 ph 7
无家可奔 nb 7
无动於中 nn 7
无情少面 nn 7
无为自成 ph 7
帖服 pg 5
通达 ph 9
通融 pb 5
痛击 nn 5
头角 pb 7
透亮 pb 7
土蚕 nc 9
团圆 pa 9
推卸 nn 5
函丈 pd 5
合不来 nd 3
面不改容 ph 5
面是心非 nn 5
妙言要道 ph 5
民脂民膏 pe 9
名公巨人 ph 6
名德重望 ph 6
明火执杖 nn 7
鸣野食苹 ph 5
谬以千里 nn 5
磨礲浸灌 ph 6
目不交睫 ni 7
目空馀子 nn 7
目无尊长 nn 5
目瞪口结 pc 5
暮想朝思 pf 6
南郭先生 nn 6
内峻外和 ph 5
能掐会算 ph 5
泥而不滓 ph 5
年高德卲 ph 5
鸟惊鱼溃 nc 7
狞髯张目 na 8
弄神弄鬼 nn 5
呕心镂骨 ph 6
攀鳞附翼 nn 6
烹犬藏弓 nn 7
十死不问 nd 5
十室九匮 nb 5
十转九空 nn 5
识字知书 ph 5
识涂老马 ph 5
食不二味 ph 5
食不兼味 ph 5
食古如鲠 nn 5
豕窜狼逋 nn 5
使性谤气 nn 5
市井无赖 nn 5
势穷力蹙 nb 5
饰智矜愚 nn 5
视死若生 ph 5
视如草芥 nn 5
视险若夷 ph 5
释生取义 nb 5
適心娱目 pb 5
適逢其时 pa 5
手到拈来 ph 5
守正不挠 ph 5
授人口实 nn 5
书香门户 ph 5
输肝沥胆 ph 5
鼠目麞头 nn 5
鼠偷狗盗 nn 5
鼠齧虫穿 nn 5
束手自毙 nd 5
束手就困 nn 5
束马悬车 nn 5
树高招风 nc 5
爽然自失 pa 5
水火相济，盐梅相成 ph 5
水底捞月 nj 5
顺水行舟 ph 5
顺风使船 pa 5
说是弄非 nn 5
思归其雌 nn 5
死而不朽 ph 5
死骨更肉 pa 5
死声咷气 nb 5
悼辞 nb 5
献礼 pa 5
相逢 pa 1
享受 pa 3
消气 pe 3
萧森 nb 1
小动作 nd 5
小巧 ph 3
小性儿 nn 3
笑纳 pd 3
协和 pa 1
携贰 nn 5
少陪 pd 3
摄卫 pe 3
伸畅 ph 5
绅耆 pd 7
神气 ph 5
升格 pa 3
生财 pa 5
胜任 ph 5
失机 ne 3
失迷 ne 3
失散 nb 7
失效 ne 5
恭惟 nd 3
孤负 nj 3
揭短 nn 7
劫夺 ng 7
颉颃 ph 5
戒除 nd 5
金榜 ph 9
闹笑话 nn 1
袅娜 ph 5
喁喁 pd 7
幽禁 nn 5
尤异 ph 9
游艺 pa 5
诱惑 nn 3
逾分 nn 3
长生 pe 5
畅想 pa 5
抄家 nc 7
超生 nn 5
成见 nd 7
惩处 na 7
吃不住 ne 5
吃劲 ne 5
斥逐 nd 9
孤形吊影 nb 5
孤魂野鬼 nb 7
孤鸾照镜 nb 7
骨软筋麻 nc 7
鼓吻奋爪 nd 7
鼓腹含哺 pa 5
瞽言妄举 nn 5
故宫禾黍 pf 5
顾盼生辉 pb 5
刮目相见 ph 7
寡情薄意 nd 5
怪雨盲风 nd 5
官法如炉 ph 5
冠履倒置 nn 5
贯朽粟陈 pg 5
光前启后 pg 5
广文先生 pg 5
归正邱首 pf 9
龟年鹤算 pg 7
轨物范世 pg 5
鬼吒狼嚎 nd 7
鬼计百端 nn 7
鬼哭神号 nc 9
鬼魅伎俩 nn 9
贵不召骄 nd 5
刿心刳腹 nn 7
果不其然 ph 5
过甚其辞 nn 5
海水桑田 nh 5
海阔天高 nd 5
骇目惊心 pc 9
含血潠人 nn 9
含垢忍耻 pd 7
含冤受屈 pb 7
函矢相攻 nn 5
韩潮苏海 pg 7
寒蝉仗马 nd 5
汗马之劳 pg 7
汗流接踵 nc 9
好自为之 nd 5
好酒贪杯 nn 5
豪夺巧取 nd 7
诃佛诋巫 nd 5
河水不犯井水 nd 5
河奔海聚 pg 7
河清海竭 ne 5
鹤行鸡群 pg 7
鹤处鸡群 pg 7
鹤膝蜂腰 nn 5
恨相见晚 nj 7
横拖倒扯 nd 5
横眉冷眼 na 9
横遮竖挡 nd 5
横恩滥赏 nn 5
横徵暴赋 nd 7
轰堂大笑 nn 5
闳侈不经 nn 5
鸿爪雪泥 pf 5
鸿案相庄 pb 7
鸿渐之翼 pg 7
鸿鹄将至 nn 5
后进领袖 pg 9
呼天唤地 nd 9
狐奔鼠窜 nd 5
狐媚魇道 nd 7
狐鸣篝中 nd 5
失迎 nd 5
师公 pd 5
施威 nd 5
什么的 nl 5
实话 pg 5
式微 nb 5
释疑 pe 5
手拜 pd 7
胡拉乱扯 nd 5
胡诌八扯 nd 5
鹄峙鸾翔 ph 7
怙终不悛 nd 7
化民易俗 pg 5
怀才抱器 ph 7
怀宝迷邦 nj 5
欢忻鼓舞 pa 7
换骨夺胎 ph 7
慌手忙脚 ni 5
黄袍加体 pa 9
黄发鮐背 pe 5
潢池弄兵 nn 5
灰烟瘴气 nd 5
恢恑憰怪 pc 7
隳胆抽肠 ph 9
回天挽日 ph 9
悔读南华 nb 5
会少离多 nb 5
惠子知我 pg 5
浑俗和光 nn 5
混作一谈 nn 5
魂飞魄越 pc 9
魂飞胆战 pc 9
魂驰梦想 pf 9
魂飘魄散 pc 9
活剥生吞 nn 5
火山汤海 nb 7
货赂大行 nd 7
祸盈恶稔 nd 9
豁然省悟 ph 7
击壤鼓腹 pe 5
赍志以殁 nj 7
鸡犬无惊 ph 5
鸡鸣起舞 ph 7
吉日良时 pe 5
极恶不赦 nd 9
急拍繁弦 pa 5
嫉恶若仇 na 9
计功谋利 nd 5
计较锱铢 nn 7
季布一诺 pg 7
加官进禄 pa 5
家散人亡 nb 7
戛釜撞甕 nd 5
假门假事 nn 5
尖言冷语 nn 5
煎豆摘瓜 nb 7
股栗 nc 7
惯匪 nn 5
孩子头 pb 3
浩叹 nb 7
和乐 pa 5
活菩萨 ph 5
机心 nl 5
急务 ni 5
心平气和 pe 5
别鹤孤鸾 nb 5
菽水承欢 pa 5
风餐露宿 ne 5
尺寸之功 nn 5
泰山梁木 nb 7
忍辱偷生 ne 3
反裘负当 nn 5
瓮牖绳枢 nd 5
宫可敌国 ph 3
道大莫容 nb 5
人为刀组 nj 5
上天无路 ne 5
罢黜 nd 5
罢休 ne 5
摆脱 pe 5
拜忏 nh 3
拜寿 pd 5
般若 ph 5
帮衬 pe 5
榜眼 ph 5
包揽 pa 5
毛病 nn 4
闷倦 ne 5
豆嘴儿 pk 5
渎犯 na 7
断粮 nb 7
重足而立 nc 7
信而好古 pb 7
青梅竹马 pb 8
旧愁新恨 na 7
深仇重怨 na 7
洗雪逋负 na 7
怨气冲天 na 7
返哺之恩 pd 7
娓娓不倦 ph 7
要言妙道 ph 7
一字褒贬 ph 8
口口声声 ne 7
滔滔不绝 ne 8
反唇相稽 nd 6
抵掌而谈 pb 7
臧否人物 ne 7
哓哓不休 nn 7
以理服人 pg 6
自我解嘲 nl 6
咬文嚼字 nn 6
避而不谈 nn 7
掉三寸舌 nn 6
呜鼓而攻攻之 nn 6
闲磕牙 nn 6
祸从口出 nn 7
一犬吠形，百犬吠声 nn 7
沅茝灃兰 ph 7
人中之龙 ph 6
胸怀祖国，放眼世界 ph 8
万古千秋 ph 8
铁杵成针 ph 6
自求多福 ph 6
忧国奉公 ph 9
古井无波 ph 7
拭面容言 pg 7
谦让末遑 ph 6
权数 ph 5
劝戒 pd 7
阙疑 ne 5
攘除 na 7
绕弯子 nc 7
热辣辣 ng 7
人望 pd 7
仁兄 pd 5
任便 pe 3
荣华 ph 7
如故 pe 3
儒生 pd 5
入殓 nb 7
软磨 ne 5
硕果 pb 5
私话 nl 5
思凡 nd 5
死硬 ne 5
送人情 nn 5
随心 pb 5
人为 nj 5
行奸卖俏 nn 9
形只影单 nb 7
形输色授 pb 7
雄材大略 ph 7
呴湿濡沫 pg 7
学老於年 ph 7
寻弊索瑕 nn 7
雅人韵士 ph 7
言论风生 pa 7
研精殚力 ph 7
掩眼捕雀 nn 7
扬武耀威 ph 9
阳解阴毒 nn 7
摇头麰尾 ph 3
逸态横生 ph 7
老寿星 pd 1
老八辈子 nn 1
老相 nn 1
泪痕 nb 5
冷落 nn 5
礼遇 pd 5
联结 pe 5
心有余悸 nc 6
辅车相依 pb 7
手足之情 pb 8
慷慨激昂 pd 7
寸草春晖 pd 7
再造之思 pd 7
高谈雄辩 ph 8
片言折狱 ph 7
甘言美语 pb 7
由衷之言 pb 8
千叮咛，万嘱咐 ne 7
钳口不言 nb 7
免开尊口 nd 8
正言厉色 na 7
言来语去 pb 7
各抒已见 ne 7
舐皮论骨 ne 7
钻牛角尖 nn 8
君于一言，快马一鞭 pg 6
锋芒逼人 nn 7
说短论长 nn 7
群居终日，盲不及义 nn 7
老生常谈 nn 7
言不尽意 nn 6
蕙心纨质 ph 6
山中宰相 ph 7
威望素著 ph 7
九天揽月 ph 7
按荆斩棘 ph 7
倩女离魂 ph 7
之死摩它 ph 7
披心相付 pg 6
笔诛墨伐 nd 5
砭庸针俗 nn 5
辨日炎凉 ph 5
别生枝节 nn 5
冰清玉粹 ph 5
兵未血刃 ph 5
秉公办理 ph 5
剥极则复 pa 5
博物君子 ph 5
不了不当 nn 5
不可思议 pc 5
不步人脚 ph 5
不知所错 nn 5
不知头脑 nn 5
不祧之宗 pd 5
不揣冒昧 pd 5
不媿下学 ph 5
不挠不屈 ph 5
不讳之路 ph 5
不识抬举 nn 5
才疏志大 ph 5
材高知深 ph 5
采凤随鸦 nj 5
惨无人理 nd 5
差之毫氂，失之千里 nn 5
柴立不阿 ph 5
阐扬光大 ph 5
长安少年 nn 5
长蛇封豕 nn 5
演唱 pa 9
拗不过 ne 5
拔擢 pb 5
罢课 ne 5
摆动 pa 5
败仗 nj 5
拜客 pa 5
扳不倒儿 pa 5
伴当 pb 5
包圆儿 pa 5
拚命 ph 7
变卦 nn 5
辩白 pg 3
辩正 pg 5
殡车 nb 3
病根 nd 5
病容 nb 5
勃然 na 9
不测 nb 7
不敷 nl 5
不见得 nl 5
不料 pc 7
不忍 nb 5
不适 ne 5
不下于 pg 5
对口相声 nb 7
风花雪月 nn 5
风雨时若 pa 5
封胡羯末 ph 5
凤毛济美 ph 5
凤凰来仪 pa 5
凤舞龙飞 ph 7
凤髓龙肝 pb 9
佛眼佛心 ph 5
否极泰回 pa 5
跗萼载韡 ph 7
扶危救困 ph 7
浮光略影 nn 5
浮头滑脑 nn 7
俯仰随人 nn 7
釜底游魂 nc 9
负才傲物 nn 7
负重含汙 ph 7
妇人醇酒 nn 7
附赘悬肬 nd 7
富贵不能淫 ph 7
腹载五车 ph 9
改往修来 ph 7
乾巴利脆 ph 5
甘心如荠 pb 7
肝胆披沥 ph 9
感人心脾 pa 9
刚戾自用 nd 9
高才绝学 pd 7
高枕勿忧 pe 9
高官显爵 pa 7
高情远韵 ph 9
櫜弓卧鼓 pe 5
革心易行 ph 5
革面敛手 ph 7
格於成例 nn 7
隔靴抓痒 nn 5
根深本固 ph 7
梗迹蓬飘 nb 5
公私两济 ph 5
功成弗居 ph 7
攻苦食俭 nb 7
拱挹指麾 pg 7
